OfferedLoad,Node,QueueType,AvgDelay,BlockingRatio,AvgBacklog,N_audio,N_video,N_data
0.1,1,Premium,0.000135301,0,0.00258732,4,5,5
0.1,1,Assured,0.0008415,0,0.00242093,4,5,5
0.1,1,BestEffort,0.000512725,0,0.00289056,4,5,5
0.1,2,Premium,0.000136027,0,0.00255141,4,5,5
0.1,2,Assured,0.000843819,0,0.00269934,4,5,5
0.1,2,BestEffort,0.000517556,0,0.00325994,4,5,5
0.1,3,Premium,0.000135631,0,0.00256059,4,5,5
0.1,3,Assured,0.000842053,0,0.00250169,4,5,5
0.1,3,BestEffort,0.00051605,0,0.00306168,4,5,5
0.1,4,Premium,0.000137181,0,0.00277931,4,5,5
0.1,4,Assured,0.000842131,0,0.00244228,4,5,5
0.1,4,BestEffort,0.000515992,0,0.00316189,4,5,5
0.1,5,Premium,0.000135264,0,0.00262399,4,5,5
0.1,5,Assured,0.000843235,0,0.00253098,4,5,5
0.1,5,BestEffort,0.000516362,0,0.00323605,4,5,5
0.1,Reference,EndToEndDelay,0.00420135
0.1,Reference,BlockingRatio,0
0.2,1,Premium,0.00017269,0,0.00791003,8,10,10
0.2,1,Assured,0.00089008,0,0.00751652,8,10,10
0.2,1,BestEffort,0.000584476,0,0.0112321,8,10,10
0.2,2,Premium,0.000172679,0,0.00756876,8,10,10
0.2,2,Assured,0.000886595,0,0.00724946,8,10,10
0.2,2,BestEffort,0.00058588,0,0.0109245,8,10,10
0.2,3,Premium,0.000169699,0,0.00719268,8,10,10
0.2,3,Assured,0.000886353,0,0.00705451,8,10,10
0.2,3,BestEffort,0.000579431,0,0.0105552,8,10,10
0.2,4,Premium,0.000170726,0,0.00734142,8,10,10
0.2,4,Assured,0.000889566,0,0.00732502,8,10,10
0.2,4,BestEffort,0.000581413,0,0.0106009,8,10,10
0.2,5,Premium,0.000173272,0,0.0075832,8,10,10
0.2,5,Assured,0.000888238,0,0.0071936,8,10,10
0.2,5,BestEffort,0.00058236,0,0.0105652,8,10,10
0.2,Reference,EndToEndDelay,0.00441728
0.2,Reference,BlockingRatio,0
0.3,1,Premium,0.000203646,0,0.0123237,11,14,14
0.3,1,Assured,0.000933683,0,0.0127733,11,14,14
0.3,1,BestEffort,0.000665617,0,0.0215306,11,14,14
0.3,2,Premium,0.00020128,0,0.0121478,11,14,14
0.3,2,Assured,0.00093097,0,0.0123015,11,14,14
0.3,2,BestEffort,0.000659057,0,0.0205046,11,14,14
0.3,3,Premium,0.000200265,0,0.0120791,11,14,14
0.3,3,Assured,0.000931632,0,0.0124773,11,14,14
0.3,3,BestEffort,0.000661351,0,0.0205884,11,14,14
0.3,4,Premium,0.000201379,0,0.0122231,11,14,14
0.3,4,Assured,0.000929212,0,0.0120625,11,14,14
0.3,4,BestEffort,0.000651163,0,0.0198138,11,14,14
0.3,5,Premium,0.000200786,0,0.0122515,11,14,14
0.3,5,Assured,0.000930174,0,0.0123724,11,14,14
0.3,5,BestEffort,0.000656407,0,0.0201251,11,14,14
0.3,Reference,EndToEndDelay,0.00463722
0.3,Reference,BlockingRatio,0
0.4,1,Premium,0.000236383,0,0.0185879,15,19,19
0.4,1,Assured,0.000997134,0,0.0208405,15,19,19
0.4,1,BestEffort,0.000807986,0,0.0404007,15,19,19
0.4,2,Premium,0.000237493,0,0.0193866,15,19,19
0.4,2,Assured,0.000999533,0,0.0209322,15,19,19
0.4,2,BestEffort,0.000804226,0,0.0400101,15,19,19
0.4,3,Premium,0.000238931,0,0.0191531,15,19,19
0.4,3,Assured,0.000995268,0,0.0204281,15,19,19
0.4,3,BestEffort,0.000803622,0,0.0401619,15,19,19
0.4,4,Premium,0.000238519,0,0.0192375,15,19,19
0.4,4,Assured,0.000994188,0,0.0203784,15,19,19
0.4,4,BestEffort,0.000808822,0,0.0401054,15,19,19
0.4,5,Premium,0.000238384,0,0.0191992,15,19,19
0.4,5,Assured,0.000996448,0,0.0207892,15,19,19
0.4,5,BestEffort,0.000806743,0,0.0407914,15,19,19
0.4,Reference,EndToEndDelay,0.00496911
0.4,Reference,BlockingRatio,0
0.5,1,Premium,0.000275336,0,0.0274226,19,24,24
0.5,1,Assured,0.00107118,0,0.0314211,19,24,24
0.5,1,BestEffort,0.00105043,0,0.0753599,19,24,24
0.5,2,Premium,0.000274889,0,0.0268093,19,24,24
0.5,2,Assured,0.00106913,0,0.0307539,19,24,24
0.5,2,BestEffort,0.00105737,0,0.0753822,19,24,24
0.5,3,Premium,0.000275548,0,0.0272266,19,24,24
0.5,3,Assured,0.00106938,0,0.030895,19,24,24
0.5,3,BestEffort,0.00104454,0,0.0747311,19,24,24
0.5,4,Premium,0.000279009,0,0.0275409,19,24,24
0.5,4,Assured,0.00107535,0,0.0319151,19,24,24
0.5,4,BestEffort,0.00106723,0,0.0764254,19,24,24
0.5,5,Premium,0.000275747,0,0.0272431,19,24,24
