OfferedLoad,Node,QueueType,AvgDelay,BlockingRatio,AvgBacklog,N_audio,N_video,N_data
0.1,1,Premium,0.000130755,0,0.00283322,4,5,5
0.1,1,Assured,0.000839632,0,0.00204717,4,5,5
0.1,1,BestEffort,0.000508219,0,0.0026902,4,5,5
0.1,2,Premium,0.000132443,0,0.00302812,4,5,5
0.1,2,Assured,0.000838431,0,0.00202441,4,5,5
0.1,2,BestEffort,0.000507213,0,0.00255327,4,5,5
0.1,3,Premium,0.000134,0,0.00312419,4,5,5
0.1,3,Assured,0.000842253,0,0.00212985,4,5,5
0.1,3,BestEffort,0.000511984,0,0.00302553,4,5,5
0.1,4,Premium,0.000132072,0,0.00293653,4,5,5
0.1,4,Assured,0.000838381,0,0.0019825,4,5,5
0.1,4,BestEffort,0.000509504,0,0.00278958,4,5,5
0.1,5,Premium,0.000131073,0,0.00291103,4,5,5
0.1,5,Assured,0.000839154,0,0.00203028,4,5,5
0.1,5,BestEffort,0.000509534,0,0.00285519,4,5,5
0.1,Reference,EndToEndDelay,0.000660166
0.1,Reference,BlockingRatio,0
0.2,1,Premium,0.000167688,0,0.00803658,8,10,10
0.2,1,Assured,0.000879475,0,0.00634967,8,10,10
0.2,1,BestEffort,0.000570943,0,0.0100815,8,10,10
0.2,2,Premium,0.000167931,0,0.00797117,8,10,10
0.2,2,Assured,0.000886344,0,0.0066644,8,10,10
0.2,2,BestEffort,0.000575046,0,0.010181,8,10,10
0.2,3,Premium,0.000168362,0,0.00819354,8,10,10
0.2,3,Assured,0.000885035,0,0.00624767,8,10,10
0.2,3,BestEffort,0.000571688,0,0.00981928,8,10,10
0.2,4,Premium,0.000167269,0,0.00819776,8,10,10
0.2,4,Assured,0.000881705,0,0.00623148,8,10,10
0.2,4,BestEffort,0.000568067,0,0.0096609,8,10,10
0.2,5,Premium,0.000166572,0,0.00791,8,10,10
0.2,5,Assured,0.000882025,0,0.00618712,8,10,10
0.2,5,BestEffort,0.000569715,0,0.009703,8,10,10
0.2,Reference,EndToEndDelay,0.000831202
0.2,Reference,BlockingRatio,0
0.3,1,Premium,0.000194557,0,0.0129747,11,14,14
0.3,1,Assured,0.000920607,0,0.0107927,11,14,14
0.3,1,BestEffort,0.000646818,0,0.0194541,11,14,14
0.3,2,Premium,0.000197658,0,0.0130526,11,14,14
0.3,2,Assured,0.000923968,0,0.0111065,11,14,14
0.3,2,BestEffort,0.000641179,0,0.0185962,11,14,14
0.3,3,Premium,0.000197638,0,0.0129943,11,14,14
0.3,3,Assured,0.000922207,0,0.0108683,11,14,14
0.3,3,BestEffort,0.000643804,0,0.0191559,11,14,14
0.3,4,Premium,0.000195738,0,0.0130493,11,14,14
0.3,4,Assured,0.000923818,0,0.0111035,11,14,14
0.3,4,BestEffort,0.000644148,0,0.01919,11,14,14
0.3,5,Premium,0.000196451,0,0.0129263,11,14,14
0.3,5,Assured,0.000926366,0,0.0113447,11,14,14
0.3,5,BestEffort,0.000647766,0,0.0193786,11,14,14
0.3,Reference,EndToEndDelay,0.000965306
0.3,Reference,BlockingRatio,0
0.4,1,Premium,0.000233428,0,0.0200032,15,19,19
0.4,1,Assured,0.000988119,0,0.0191937,15,19,19
0.4,1,BestEffort,0.000788179,0,0.0389974,15,19,19
0.4,2,Premium,0.000233468,0,0.0200565,15,19,19
0.4,2,Assured,0.00098366,0,0.0185746,15,19,19
0.4,2,BestEffort,0.000775509,0,0.0374247,15,19,19
0.4,3,Premium,0.000233029,0,0.0200342,15,19,19
0.4,3,Assured,0.000989661,0,0.0190933,15,19,19
0.4,3,BestEffort,0.000788592,0,0.0387052,15,19,19
0.4,4,Premium,0.000233453,0,0.0199942,15,19,19
0.4,4,Assured,0.000985032,0,0.0190503,15,19,19
0.4,4,BestEffort,0.000783248,0,0.0379537,15,19,19
0.4,5,Premium,0.000231674,0,0.0197708,15,19,19
0.4,5,Assured,0.000983413,0,0.0187479,15,19,19
0.4,5,BestEffort,0.000784393,0,0.0387463,15,19,19
0.4,Reference,EndToEndDelay,0.00117715
0.4,Reference,BlockingRatio,0
0.5,1,Premium,0.000271874,0,0.0286229,19,24,24
0.5,1,Assured,0.00106367,0,0.0298692,19,24,24
0.5,1,BestEffort,0.00101979,0,0.0726004,19,24,24
0.5,2,Premium,0.000271712,0,0.0282576,19,24,24
0.5,2,Assured,0.00106366,0,0.029538,19,24,24
0.5,2,BestEffort,0.00103139,0,0.0726963,19,24,24
0.5,3,Premium,0.000270109,0,0.0278957,19,24,24
0.5,3,Assured,0.00106225,0,0.0291185,19,24,24
0.5,3,BestEffort,0.00101677,0,0.0710746,19,24,24
0.5,4,Premium,0.000271807,0,0.0285153,19,24,24
0.5,4,Assured,0.0010648,0,0.0297042,19,24,24
0.5,4,BestEffort,0.00102653,0,0.0736811,19,24,24
0.5,5,Premium,0.000271141,0,0.0279808,19,24,24
0.5,5,Assured,0.00106418,0,0.0291619,19,24,24
0.5,5,BestEffort,0.00100676,0,0.0705163,19,24,24
0.5,Reference,EndToEndDelay,0.00136113
0.5,Reference,BlockingRatio,0
0.6,1,Premium,0.000310413,0,0.0375233,23,29,29
0.6,1,Assured,0.00116349,0,0.0446279,23,29,29
0.6,1,BestEffort,0.00148223,0,0.142829,23,29,29
0.6,2,Premium,0.000310121,0,0.0375114,23,29,29
0.6,2,Assured,0.00116369,0,0.044076,23,29,29
0.6,2,BestEffort,0.0014706,0,0.141614,23,29,29
0.6,3,Premium,0.000310169,0,0.0370702,23,29,29
0.6,3,Assured,0.00116149,3.43212e-05,0.04364,23,29,29
0.6,3,BestEffort,0.00147073,1.32605e-05,0.140273,23,29,29
0.6,4,Premium,0.000310622,0,0.0373903,23,29,29
0.6,4,Assured,0.00116102,0,0.0441142,23,29,29
0.6,4,BestEffort,0.00147032,0,0.140199,23,29,29
0.6,5,Premium,0.000309796,1.28329e-05,0.0375751,23,29,29
0.6,5,Assured,0.0011613,0,0.0443396,23,29,29
0.6,5,BestEffort,0.00147187,0,0.139837,23,29,29
0.6,Reference,EndToEndDelay,0.00155598
0.6,Reference,BlockingRatio,0
0.7,1,Premium,0.000341439,2.19621e-05,0.0470833,27,33,33
0.7,1,Assured,0.00125429,1.50537e-05,0.0582238,27,33,33
0.7,1,BestEffort,0.00213997,1.17262e-05,0.245309,27,33,33
0.7,2,Premium,0.000340722,6.6335e-05,0.0465915,27,33,33
0.7,2,Assured,0.00124943,6.04102e-05,0.057046,27,33,33
0.7,2,BestEffort,0.00218999,6.96953e-05,0.255092,27,33,33
0.7,3,Premium,0.000342589,6.60211e-05,0.0470083,27,33,33
0.7,3,Assured,0.00126093,1.48878e-05,0.0593979,27,33,33
0.7,3,BestEffort,0.00225697,5.85185e-05,0.262374,27,33,33
0.7,4,Premium,0.000342791,7.694e-05,0.047473,27,33,33
0.7,4,Assured,0.00125081,6.02954e-05,0.0580584,27,33,33
0.7,4,BestEffort,0.0021833,4.64511e-05,0.253981,27,33,33
0.7,5,Premium,0.000339817,5.50079e-05,0.0464683,27,33,33
0.7,5,Assured,0.00124329,4.54194e-05,0.0561711,27,33,33
0.7,5,BestEffort,0.00211501,3.51671e-05,0.241278,27,33,33
0.7,Reference,EndToEndDelay,0.00172159
0.7,Reference,BlockingRatio,0.000309693
