OfferedLoad,Node,QueueType,AvgDelay,BlockingRatio,AvgBacklog,N_audio,N_video,N_data
0.1,1,Premium,0.000131943,0,0.0029271,4,5,5
0.1,1,Assured,0.000834749,0,0.00180051,4,5,5
0.1,1,BestEffort,0.00050788,0,0.00261708,4,5,5
0.1,2,Premium,0.00013064,0,0.00284591,4,5,5
0.1,2,Assured,0.000836115,0,0.0018164,4,5,5
0.1,2,BestEffort,0.000508057,0,0.00262723,4,5,5
0.1,3,Premium,0.000132049,0,0.00301663,4,5,5
0.1,3,Assured,0.000838907,0,0.00204001,4,5,5
0.1,3,BestEffort,0.000510374,0,0.00288221,4,5,5
0.1,4,Premium,0.000130786,0,0.00288055,4,5,5
0.1,4,Assured,0.000837698,0,0.00186753,4,5,5
0.1,4,BestEffort,0.000505957,0,0.00256215,4,5,5
0.1,5,Premium,0.000129538,0,0.00273926,4,5,5
0.1,5,Assured,0.000837457,0,0.00190359,4,5,5
0.1,5,BestEffort,0.00051043,0,0.00273873,4,5,5
0.1,Reference,EndToEndDelay,0.000660113
0.1,Reference,BlockingRatio,0
0.2,1,Premium,0.000168779,0,0.00815725,8,10,10
0.2,1,Assured,0.000884235,0,0.00663732,8,10,10
0.2,1,BestEffort,0.000572762,0,0.010159,8,10,10
0.2,2,Premium,0.000166104,0,0.00787982,8,10,10
0.2,2,Assured,0.000879715,0,0.00612766,8,10,10
0.2,2,BestEffort,0.000571488,0,0.00982927,8,10,10
0.2,3,Premium,0.000169227,0,0.00830291,8,10,10
0.2,3,Assured,0.00088503,0,0.00660073,8,10,10
0.2,3,BestEffort,0.000574784,0,0.0102993,8,10,10
0.2,4,Premium,0.000166375,0,0.00786248,8,10,10
0.2,4,Assured,0.000887028,0,0.00671268,8,10,10
0.2,4,BestEffort,0.000572188,0,0.010056,8,10,10
0.2,5,Premium,0.000165598,0,0.0078904,8,10,10
0.2,5,Assured,0.000879636,0,0.00609082,8,10,10
0.2,5,BestEffort,0.000571061,0,0.00996959,8,10,10
0.2,Reference,EndToEndDelay,0.000838694
0.2,Reference,BlockingRatio,0
0.3,1,Premium,0.000196374,0,0.012956,11,14,14
0.3,1,Assured,0.00092576,0,0.0112431,11,14,14
0.3,1,BestEffort,0.000644924,0,0.019313,11,14,14
0.3,2,Premium,0.000195226,0,0.0126899,11,14,14
0.3,2,Assured,0.000923096,0,0.0107515,11,14,14
0.3,2,BestEffort,0.000642265,0,0.0190595,11,14,14
0.3,3,Premium,0.000195016,0,0.0127697,11,14,14
0.3,3,Assured,0.000925176,0,0.0112991,11,14,14
0.3,3,BestEffort,0.000641709,0,0.0189402,11,14,14
0.3,4,Premium,0.000197738,0,0.0130209,11,14,14
0.3,4,Assured,0.000926062,0,0.0112255,11,14,14
0.3,4,BestEffort,0.000645127,0,0.0190945,11,14,14
0.3,5,Premium,0.000194824,0,0.0127473,11,14,14
0.3,5,Assured,0.000925904,0,0.0112186,11,14,14
0.3,5,BestEffort,0.000643385,0,0.0189855,11,14,14
0.3,Reference,EndToEndDelay,0.000982335
0.3,Reference,BlockingRatio,0
0.4,1,Premium,0.000232721,0,0.0199148,15,19,19
0.4,1,Assured,0.000986967,0,0.0188579,15,19,19
