OfferedLoad,Node,QueueType,AvgDelay,BlockingRatio,AvgBacklog,N_audio,N_video,N_data
0.4,3,BestEffort,0.000781745,0,0.0199752,15,19,19
0.4,4,Premium,0.000233449,0,0.0109685,15,19,19
0.4,4,Assured,0.000984986,0,0.0102621,15,19,19
0.4,4,BestEffort,0.000775427,0,0.019526,15,19,19
0.4,5,Premium,0.000232577,0,0.0105835,15,19,19
0.4,5,Assured,0.000984225,0,0.0100326,15,19,19
0.4,5,BestEffort,0.000775046,0,0.0196546,15,19,19
0.4,6,Premium,0.000236273,0,0.0110392,15,19,19
0.4,6,Assured,0.000986975,0,0.0103767,15,19,19
0.4,6,BestEffort,0.000788739,0,0.0205389,15,19,19
0.4,7,Premium,0.00023285,0,0.0108536,15,19,19
0.4,7,Assured,0.000988532,0,0.0104995,15,19,19
0.4,7,BestEffort,0.000791896,0,0.0205506,15,19,19
0.4,8,Premium,0.000232068,0,0.0107716,15,19,19
0.4,8,Assured,0.000990536,0,0.0103969,15,19,19
0.4,8,BestEffort,0.000784442,0,0.020467,15,19,19
0.4,9,Premium,0.000233207,0,0.0109311,15,19,19
0.4,9,Assured,0.0009837,0,0.0100624,15,19,19
0.4,9,BestEffort,0.000777057,0,0.0197112,15,19,19
0.4,10,Premium,0.000233391,0,0.0108249,15,19,19
0.4,10,Assured,0.00098548,0,0.0101579,15,19,19
0.4,10,BestEffort,0.000788111,0,0.0205343,15,19,19
0.4,Reference,EndToEndDelay,0.00233767
0.4,Reference,BlockingRatio,0
0.5,1,Premium,0.000269974,0,0.0147621,19,24,24
0.5,1,Assured,0.00106085,0,0.0156106,19,24,24
0.5,1,BestEffort,0.00102295,0,0.0374332,19,24,24
0.5,2,Premium,0.000273974,0,0.0151889,19,24,24
0.5,2,Assured,0.00106152,0,0.0156202,19,24,24
0.5,2,BestEffort,0.00103181,0,0.0381507,19,24,24
0.5,3,Premium,0.00027132,0,0.0150821,19,24,24
0.5,3,Assured,0.00106313,0,0.0156289,19,24,24
0.5,3,BestEffort,0.0010192,0,0.0370094,19,24,24
0.5,4,Premium,0.000270403,0,0.0147717,19,24,24
0.5,4,Assured,0.00106502,0,0.0157442,19,24,24
0.5,4,BestEffort,0.00102042,0,0.0378613,19,24,24
0.5,5,Premium,0.000271475,0,0.0147238,19,24,24
0.5,5,Assured,0.00105916,0,0.015469,19,24,24
0.5,5,BestEffort,0.00100474,0,0.0362076,19,24,24
0.5,6,Premium,0.000271019,0,0.0149773,19,24,24
0.5,6,Assured,0.00106288,0,0.0157435,19,24,24
0.5,6,BestEffort,0.00102234,0,0.0372047,19,24,24
0.5,7,Premium,0.000272183,0,0.0150665,19,24,24
0.5,7,Assured,0.00106805,0,0.016078,19,24,24
0.5,7,BestEffort,0.00102973,0,0.0381537,19,24,24
0.5,8,Premium,0.000270803,0,0.015029,19,24,24
0.5,8,Assured,0.00106284,0,0.0156542,19,24,24
0.5,8,BestEffort,0.00100684,0,0.0364825,19,24,24
0.5,9,Premium,0.000270948,0,0.0151698,19,24,24
0.5,9,Assured,0.00105938,0,0.015496,19,24,24
0.5,9,BestEffort,0.0010151,0,0.0368567,19,24,24
0.5,10,Premium,0.000271092,0,0.0148197,19,24,24
0.5,10,Assured,0.00106087,0,0.0153909,19,24,24
0.5,10,BestEffort,0.00102875,0,0.0380838,19,24,24
0.5,Reference,EndToEndDelay,0.00270123
0.5,Reference,BlockingRatio,0
0.6,1,Premium,0.000311726,0,0.0197333,23,29,29
0.6,1,Assured,0.00115979,1.69632e-05,0.0232471,23,29,29
0.6,1,BestEffort,0.00150195,0,0.0739771,23,29,29
0.6,2,Premium,0.000311237,3.86458e-05,0.019653,23,29,29
0.6,2,Assured,0.00115938,3.42038e-05,0.0226838,23,29,29
0.6,2,BestEffort,0.00148027,2.65052e-05,0.0722233,23,29,29
0.6,3,Premium,0.000310159,0,0.0196348,23,29,29
0.6,3,Assured,0.00116156,0,0.0230743,23,29,29
0.6,3,BestEffort,0.00146877,1.33264e-05,0.0704884,23,29,29
0.6,4,Premium,0.000309398,1.28215e-05,0.0196914,23,29,29
0.6,4,Assured,0.00115406,1.71168e-05,0.0225368,23,29,29
0.6,4,BestEffort,0.0014546,0,0.0707638,23,29,29
0.6,5,Premium,0.000308767,0,0.0196102,23,29,29
0.6,5,Assured,0.00115345,0,0.0224737,23,29,29
0.6,5,BestEffort,0.00146088,0,0.0710886,23,29,29
0.6,6,Premium,0.000308541,0,0.0195758,23,29,29
0.6,6,Assured,0.00115201,0,0.0223946,23,29,29
0.6,6,BestEffort,0.00145751,0,0.071067,23,29,29
0.6,7,Premium,0.000309837,0,0.0195754,23,29,29
0.6,7,Assured,0.00115835,0,0.0226905,23,29,29
0.6,7,BestEffort,0.00149989,0,0.0741119,23,29,29
0.6,8,Premium,0.00030936,0,0.019382,23,29,29
0.6,8,Assured,0.00115673,0,0.022427,23,29,29
0.6,8,BestEffort,0.00145789,1.33779e-05,0.0697611,23,29,29
0.6,9,Premium,0.000309618,0,0.0195181,23,29,29
0.6,9,Assured,0.00115579,0,0.0225263,23,29,29
0.6,9,BestEffort,0.00147869,0,0.0720078,23,29,29
