OfferedLoad,Node,QueueType,AvgDelay,BlockingRatio,AvgBacklog,N_audio,N_video,N_data
0.1,1,Premium,0.000134375,0,0.00252772,4,5,5
0.1,1,Assured,0.000841016,0,0.00206053,4,5,5
0.1,1,BestEffort,0.000510035,0,0.00333677,4,5,5
0.1,2,Premium,0.000132381,0,0.00236732,4,5,5
0.1,2,Assured,0.000840212,0,0.00201434,4,5,5
0.1,2,BestEffort,0.000511343,0,0.00348931,4,5,5
0.1,3,Premium,0.000133368,0,0.00249,4,5,5
0.1,3,Assured,0.000841845,0,0.00213966,4,5,5
0.1,3,BestEffort,0.000510041,0,0.00340672,4,5,5
0.1,4,Premium,0.000133511,0,0.00250574,4,5,5
0.1,4,Assured,0.0008416,0,0.00203537,4,5,5
0.1,4,BestEffort,0.000513758,0,0.00348363,4,5,5
0.1,5,Premium,0.000132552,0,0.00237997,4,5,5
0.1,5,Assured,0.00083824,0,0.00190777,4,5,5
0.1,5,BestEffort,0.000510706,0,0.00338944,4,5,5
0.1,Reference,EndToEndDelay,0.00255605
0.1,Reference,BlockingRatio,0
0.2,1,Premium,0.000169642,0,0.0072656,8,10,10
0.2,1,Assured,0.000885952,0,0.00665968,8,10,10
0.2,1,BestEffort,0.000578069,0,0.0115588,8,10,10
0.2,2,Premium,0.000167726,0,0.00715711,8,10,10
0.2,2,Assured,0.000885146,0,0.00640669,8,10,10
0.2,2,BestEffort,0.000575098,0,0.0109667,8,10,10
0.2,3,Premium,0.000169946,0,0.00746544,8,10,10
0.2,3,Assured,0.000885767,0,0.0066345,8,10,10
0.2,3,BestEffort,0.000576475,0,0.0115076,8,10,10
0.2,4,Premium,0.000169121,0,0.00744805,8,10,10
0.2,4,Assured,0.000885472,0,0.00659138,8,10,10
0.2,4,BestEffort,0.000574843,0,0.0112687,8,10,10
0.2,5,Premium,0.000167705,0,0.00704642,8,10,10
0.2,5,Assured,0.000883384,0,0.00638032,8,10,10
0.2,5,BestEffort,0.000576137,0,0.0111679,8,10,10
0.2,Reference,EndToEndDelay,0.00290956
